sno	assembly_constituency	Loksabha_constituency
1	Narela	North West Delhi
2	Burari	North East Delhi
3	Timarpur	North East Delhi
4	Adarsh Nagar	Chandni Chowk
5	Badli	North West Delhi
6	Rithala	North West Delhi
7	Bawana	North West Delhi
8	Mundka	North West Delhi
9	Kirari	North West Delhi
10	Sultan Pur Majra	North West Delhi
11	Nangloi Jat	North West Delhi
12	Mangol Puri	North West Delhi
13	Rohini	North West Delhi
14	Shalimar Bagh	Chandni Chowk
15	Shakur Basti	Chandni Chowk
16	Tri Nagar	Chandni Chowk
17	Wazirpur	Chandni Chowk
18	Model Town	Chandni Chowk
19	Sadar Bazar	Chandni Chowk
20	Chandni Chowk	Chandni Chowk
21	Matia Mahal	Chandni Chowk
22	Ballimaran	Chandni Chowk
23	Karol Bagh	New Delhi
24	Patel Nagar	New Delhi
25	Moti Nagar	New Delhi
26	Madipur	West Delhi
27	Rajouri Garden	West Delhi
28	Hari Nagar	West Delhi
29	Tilak Nagar	West Delhi
30	Janakpuri	West Delhi
31	Vikaspuri	West Delhi
32	Uttam Nagar	West Delhi
33	Dwarka	West Delhi
34	Matiala	West Delhi
35	Najafgarh	West Delhi
36	Bijwasan	South Delhi
37	Palam	South Delhi
38	Delhi Cantonment	New Delhi
39	Rajinder Nagar	New Delhi
40	New Delhi	New Delhi
41	Jangpura	East Delhi
42	Kasturba Nagar	New Delhi
43	Malviya Nagar	New Delhi
44	R K Puram	New Delhi
45	Mehrauli	South Delhi
46	Chhatarpur	South Delhi
47	Deoli	South Delhi
48	Ambedkar Nagar	South Delhi
49	Sangam Vihar	South Delhi
50	Greater Kailash	New Delhi
51	Kalkaji	South Delhi
52	Tughlkabad	South Delhi
53	Badarpur	South Delhi
54	Okhla	East Delhi
55	Trilokpuri	East Delhi
56	Kondli	East Delhi
57	Patparganj	East Delhi
58	Laxmi Nagar	East Delhi
59	Vishwas Nagar	East Delhi
60	Krishna Nagar	East Delhi
61	Gandhi Nagar	East Delhi
62	Shahdara	East Delhi
63	Seemapuri	North East Delhi
64	Rohtas Nagar	North East Delhi
65	Seelampur	North East Delhi
66	Ghonda	North East Delhi
67	Babarpur	North East Delhi
68	Gokalpur	North East Delhi
69	Mustafabad	North East Delhi
70	Karawal Nagar	North East Delhi
